"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","2.2nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"2","C2","1","680pf","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"3","H1","1","Mic +","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm",""
"4","H2","1","XLR + (Pin 2)","TestPoint:TestPoint_Pad_2.5x2.5mm",""
"5","H3","1","XLR GND (Pin 1)","TestPoint:TestPoint_Pad_2.5x2.5mm",""
"6","H4","1","XLR - (Pin 3) ","TestPoint:TestPoint_Pad_2.5x2.5mm",""
"7","H5","1","Mic -","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm",""
"8","H6","1","Mic GND","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm",""
"9","Q1, Q3","2","MMBFJ201","Package_TO_SOT_SMD:SOT-23",""
"10","Q2","1","MMBFJ202","Package_TO_SOT_SMD:SOT-23",""
"11","R1, R2, R5, R6","4","3.3M","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"12","R3","1","150R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"13","R4","1","100","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
